split,filepath,label
val,val/wild/flickr_wild_003656.png,wild
train,train/cat/pixabay_cat_004643.png,cat
val,val/cat/pixabay_cat_002860.png,cat
train,train/wild/flickr_wild_002127.png,wild
val,val/wild/flickr_wild_001692.png,wild
val,val/dog/pixabay_dog_000713.png,dog
val,val/cat/pixabay_cat_001105.png,cat
val,val/dog/flickr_dog_000772.png,dog
val,val/cat/pixabay_cat_004816.png,cat
val,val/wild/flickr_wild_000361.png,wild
train,train/wild/flickr_wild_003649.png,wild
train,train/cat/pixabay_cat_003384.png,cat
val,val/dog/pixabay_dog_000484.png,dog
train,train/dog/pixabay_dog_002242.png,dog
val,val/wild/flickr_wild_000046.png,wild
train,train/dog/flickr_dog_000121.png,dog
train,train/wild/flickr_wild_002111.png,wild
val,val/wild/flickr_wild_002829.png,wild
val,val/cat/flickr_cat_000419.png,cat
val,val/dog/pixabay_dog_000241.png,dog
train,train/wild/flickr_wild_001895.png,wild
train,train/dog/flickr_dog_001000.png,dog
train,train/dog/pixabay_dog_003249.png,dog
train,train/cat/pixabay_cat_001345.png,cat
train,train/cat/pixabay_cat_000176.png,cat
train,train/dog/flickr_dog_000071.png,dog
val,val/wild/flickr_wild_000711.png,wild
val,val/dog/pixabay_dog_002329.png,dog
val,val/cat/pixabay_cat_003712.png,cat
train,train/wild/flickr_wild_003476.png,wild
val,val/cat/pixabay_cat_002435.png,cat
train,train/wild/flickr_wild_003423.png,wild
val,val/dog/flickr_dog_001100.png,dog
train,train/dog/pixabay_dog_002828.png,dog
train,train/cat/pixabay_cat_002934.png,cat
val,val/dog/pixabay_dog_002363.png,dog
val,val/cat/pixabay_cat_001917.png,cat
train,train/dog/pixabay_dog_000945.png,dog
val,val/wild/flickr_wild_003263.png,wild
train,train/cat/pixabay_cat_001115.png,cat
train,train/dog/pixabay_dog_001120.png,dog
train,train/wild/flickr_wild_002835.png,wild
train,train/dog/flickr_dog_000108.png,dog
train,train/cat/pixabay_cat_002768.png,cat
val,val/dog/pixabay_dog_000569.png,dog
val,val/wild/flickr_wild_003786.png,wild
val,val/cat/pixabay_cat_004510.png,cat
train,train/dog/pixabay_dog_002996.png,dog
val,val/wild/flickr_wild_000411.png,wild
train,train/cat/pixabay_cat_003894.png,cat
val,val/cat/pixabay_cat_000353.png,cat
train,train/wild/flickr_wild_000300.png,wild
train,train/wild/flickr_wild_001082.png,wild
val,val/cat/pixabay_cat_002865.png,cat
val,val/wild/flickr_wild_001330.png,wild
val,val/dog/pixabay_dog_001561.png,dog
val,val/cat/pixabay_cat_003204.png,cat
train,train/dog/flickr_dog_000031.png,dog
val,val/cat/pixabay_cat_002724.png,cat
train,train/wild/flickr_wild_000697.png,wild
val,val/wild/pixabay_wild_000185.png,wild
val,val/wild/flickr_wild_000524.png,wild
train,train/cat/pixabay_cat_001063.png,cat
train,train/dog/flickr_dog_000078.png,dog
train,train/cat/pixabay_cat_001815.png,cat
train,train/dog/pixabay_dog_003695.png,dog
train,train/wild/flickr_wild_001087.png,wild
train,train/cat/pixabay_cat_004436.png,cat
val,val/wild/flickr_wild_002553.png,wild
train,train/wild/pixabay_wild_000492.png,wild
val,val/wild/flickr_wild_000252.png,wild
train,train/dog/pixabay_dog_003395.png,dog
train,train/dog/pixabay_dog_003631.png,dog
train,train/cat/flickr_cat_000548.png,cat
val,val/wild/flickr_wild_003571.png,wild
train,train/wild/flickr_wild_002573.png,wild
val,val/wild/pixabay_wild_000217.png,wild
val,val/wild/flickr_wild_002809.png,wild
train,train/dog/flickr_dog_000683.png,dog
train,train/dog/pixabay_dog_001855.png,dog
val,val/dog/pixabay_dog_002366.png,dog
train,train/dog/pixabay_dog_000967.png,dog
val,val/wild/pixabay_wild_000650.png,wild
val,val/cat/pixabay_cat_004784.png,cat
val,val/wild/flickr_wild_002686.png,wild
val,val/cat/pixabay_cat_000666.png,cat
train,train/wild/flickr_wild_001242.png,wild
val,val/wild/pixabay_wild_001043.png,wild
val,val/wild/flickr_wild_000194.png,wild
val,val/wild/flickr_wild_000599.png,wild
train,train/wild/flickr_wild_003424.png,wild
train,train/dog/pixabay_dog_002952.png,dog
val,val/dog/flickr_dog_000706.png,dog
val,val/wild/flickr_wild_000039.png,wild
train,train/cat/pixabay_cat_000639.png,cat
train,train/dog/pixabay_dog_001828.png,dog
val,val/dog/flickr_dog_000619.png,dog
val,val/wild/flickr_wild_002886.png,wild
val,val/dog/flickr_dog_000896.png,dog
val,val/wild/flickr_wild_003130.png,wild
val,val/dog/pixabay_dog_003230.png,dog
train,train/wild/pixabay_wild_000787.png,wild
train,train/cat/pixabay_cat_001572.png,cat
train,train/dog/pixabay_dog_000915.png,dog
train,train/wild/flickr_wild_003531.png,wild
train,train/dog/pixabay_dog_003826.png,dog
train,train/dog/pixabay_dog_000220.png,dog
train,train/wild/flickr_wild_001041.png,wild
val,val/wild/flickr_wild_002747.png,wild
train,train/dog/pixabay_dog_002091.png,dog
val,val/wild/flickr_wild_000192.png,wild
val,val/wild/flickr_wild_001547.png,wild
val,val/wild/flickr_wild_002603.png,wild
val,val/dog/flickr_dog_000454.png,dog
train,train/dog/pixabay_dog_002967.png,dog
val,val/dog/pixabay_dog_003123.png,dog
train,train/dog/pixabay_dog_000566.png,dog
val,val/wild/pixabay_wild_000972.png,wild
train,train/dog/pixabay_dog_000660.png,dog
val,val/cat/pixabay_cat_001029.png,cat
val,val/dog/flickr_dog_000545.png,dog
val,val/cat/pixabay_cat_002338.png,cat
val,val/wild/flickr_wild_000206.png,wild
val,val/cat/pixabay_cat_001084.png,cat
val,val/wild/flickr_wild_001815.png,wild
val,val/cat/pixabay_cat_003556.png,cat
train,train/cat/flickr_cat_000171.png,cat
train,train/cat/pixabay_cat_002293.png,cat
val,val/cat/pixabay_cat_001081.png,cat
train,train/cat/pixabay_cat_000892.png,cat
val,val/wild/pixabay_wild_001134.png,wild
train,train/cat/pixabay_cat_001887.png,cat
val,val/wild/flickr_wild_003849.png,wild
train,train/wild/pixabay_wild_000662.png,wild
train,train/dog/pixabay_dog_000407.png,dog
val,val/dog/pixabay_dog_002151.png,dog
train,train/cat/pixabay_cat_000362.png,cat
train,train/wild/flickr_wild_003158.png,wild
val,val/dog/pixabay_dog_002670.png,dog
train,train/wild/flickr_wild_003017.png,wild
val,val/dog/pixabay_dog_001069.png,dog
val,val/dog/pixabay_dog_001073.png,dog
train,train/dog/pixabay_dog_002772.png,dog
val,val/wild/flickr_wild_003246.png,wild
val,val/dog/pixabay_dog_001374.png,dog
val,val/dog/pixabay_dog_001689.png,dog
val,val/cat/pixabay_cat_004092.png,cat
val,val/dog/flickr_dog_000538.png,dog
train,train/dog/pixabay_dog_000610.png,dog
train,train/cat/pixabay_cat_003873.png,cat
val,val/cat/pixabay_cat_003417.png,cat
train,train/cat/pixabay_cat_002174.png,cat
val,val/cat/flickr_cat_000628.png,cat
val,val/cat/pixabay_cat_003924.png,cat
train,train/dog/pixabay_dog_001514.png,dog
train,train/wild/pixabay_wild_000636.png,wild
val,val/cat/pixabay_cat_000968.png,cat
train,train/wild/flickr_wild_003233.png,wild
val,val/cat/pixabay_cat_000070.png,cat
val,val/dog/pixabay_dog_003480.png,dog
val,val/cat/pixabay_cat_003804.png,cat
val,val/cat/pixabay_cat_002117.png,cat
train,train/wild/pixabay_wild_000398.png,wild
val,val/cat/pixabay_cat_003212.png,cat
train,train/wild/flickr_wild_002183.png,wild
val,val/cat/pixabay_cat_003986.png,cat
val,val/cat/flickr_cat_000253.png,cat
train,train/cat/pixabay_cat_000101.png,cat
val,val/dog/pixabay_dog_000617.png,dog
train,train/cat/pixabay_cat_000567.png,cat
val,val/cat/pixabay_cat_001365.png,cat
val,val/cat/pixabay_cat_000901.png,cat
val,val/dog/flickr_dog_000695.png,dog
train,train/wild/pixabay_wild_001044.png,wild
val,val/dog/pixabay_dog_003672.png,dog
val,val/dog/pixabay_dog_001536.png,dog
val,val/wild/flickr_wild_000129.png,wild
val,val/dog/pixabay_dog_002199.png,dog
val,val/dog/pixabay_dog_003293.png,dog
train,train/dog/pixabay_dog_002529.png,dog
train,train/dog/pixabay_dog_001626.png,dog
val,val/dog/pixabay_dog_001654.png,dog
val,val/cat/pixabay_cat_001724.png,cat
train,train/dog/pixabay_dog_001996.png,dog
train,train/cat/flickr_cat_000386.png,cat
val,val/cat/pixabay_cat_004765.png,cat
val,val/wild/flickr_wild_002058.png,wild
val,val/wild/flickr_wild_003513.png,wild
val,val/cat/flickr_cat_000746.png,cat
val,val/wild/flickr_wild_003392.png,wild
train,train/dog/pixabay_dog_000675.png,dog
val,val/dog/pixabay_dog_000455.png,dog
train,train/wild/flickr_wild_000997.png,wild
train,train/cat/pixabay_cat_001605.png,cat
val,val/dog/pixabay_dog_001156.png,dog
val,val/dog/pixabay_dog_003489.png,dog
train,train/cat/pixabay_cat_003606.png,cat
val,val/dog/pixabay_dog_003095.png,dog
train,train/cat/flickr_cat_000381.png,cat
train,train/wild/flickr_wild_000719.png,wild
train,train/dog/pixabay_dog_002640.png,dog
val,val/dog/pixabay_dog_001568.png,dog
val,val/wild/flickr_wild_000632.png,wild
val,val/dog/pixabay_dog_001290.png,dog
val,val/wild/flickr_wild_001448.png,wild
train,train/cat/pixabay_cat_004568.png,cat
train,train/cat/pixabay_cat_004244.png,cat
train,train/wild/flickr_wild_003054.png,wild
val,val/wild/flickr_wild_001475.png,wild
train,train/wild/flickr_wild_001186.png,wild
train,train/dog/flickr_dog_001183.png,dog
val,val/cat/pixabay_cat_000756.png,cat
val,val/dog/pixabay_dog_000607.png,dog
train,train/wild/pixabay_wild_000820.png,wild
train,train/wild/flickr_wild_002863.png,wild
val,val/dog/flickr_dog_000489.png,dog
val,val/dog/pixabay_dog_001985.png,dog
train,train/cat/pixabay_cat_004458.png,cat
train,train/wild/pixabay_wild_000887.png,wild
val,val/wild/flickr_wild_000012.png,wild
val,val/cat/flickr_cat_000688.png,cat
val,val/wild/flickr_wild_001576.png,wild
val,val/cat/pixabay_cat_001455.png,cat
train,train/cat/pixabay_cat_000174.png,cat
train,train/wild/flickr_wild_001829.png,wild
train,train/cat/pixabay_cat_003188.png,cat
train,train/wild/flickr_wild_000573.png,wild
val,val/wild/flickr_wild_003734.png,wild
train,train/wild/flickr_wild_001377.png,wild
train,train/wild/flickr_wild_003928.png,wild
val,val/cat/pixabay_cat_004584.png,cat
val,val/wild/flickr_wild_000609.png,wild
val,val/dog/pixabay_dog_001082.png,dog
train,train/cat/pixabay_cat_002359.png,cat
val,val/wild/pixabay_wild_000298.png,wild
val,val/wild/pixabay_wild_001094.png,wild
val,val/dog/flickr_dog_000565.png,dog
train,train/dog/pixabay_dog_001433.png,dog
val,val/wild/flickr_wild_001152.png,wild
train,train/cat/pixabay_cat_001328.png,cat
train,train/wild/pixabay_wild_000816.png,wild
train,train/wild/flickr_wild_000068.png,wild
train,train/wild/flickr_wild_002591.png,wild
val,val/dog/flickr_dog_000836.png,dog
train,train/cat/pixabay_cat_003323.png,cat
val,val/dog/pixabay_dog_002556.png,dog
train,train/wild/flickr_wild_001578.png,wild
val,val/wild/flickr_wild_001606.png,wild
train,train/cat/flickr_cat_000347.png,cat
train,train/wild/flickr_wild_001313.png,wild
val,val/wild/flickr_wild_002713.png,wild
train,train/wild/flickr_wild_001270.png,wild
train,train/cat/pixabay_cat_001893.png,cat
train,train/wild/flickr_wild_002006.png,wild
val,val/dog/pixabay_dog_003478.png,dog
val,val/cat/flickr_cat_000592.png,cat
train,train/wild/flickr_wild_003563.png,wild
train,train/dog/pixabay_dog_000687.png,dog
train,train/cat/pixabay_cat_004187.png,cat
val,val/cat/flickr_cat_000759.png,cat
val,val/wild/flickr_wild_003773.png,wild
train,train/cat/pixabay_cat_003835.png,cat
train,train/cat/flickr_cat_000156.png,cat
train,train/wild/flickr_wild_001872.png,wild
train,train/cat/pixabay_cat_003526.png,cat
train,train/wild/flickr_wild_002061.png,wild
val,val/wild/flickr_wild_002520.png,wild
train,train/wild/pixabay_wild_000099.png,wild
val,val/wild/flickr_wild_003817.png,wild
train,train/dog/pixabay_dog_003229.png,dog
train,train/cat/pixabay_cat_001452.png,cat
train,train/wild/flickr_wild_003480.png,wild
train,train/cat/pixabay_cat_000661.png,cat
train,train/wild/pixabay_wild_000078.png,wild
val,val/dog/pixabay_dog_003728.png,dog
train,train/cat/pixabay_cat_004073.png,cat
train,train/dog/pixabay_dog_000644.png,dog
train,train/cat/pixabay_cat_003998.png,cat
val,val/dog/pixabay_dog_002307.png,dog
train,train/dog/pixabay_dog_002804.png,dog
train,train/dog/pixabay_dog_002507.png,dog
train,train/dog/pixabay_dog_001061.png,dog
train,train/wild/flickr_wild_003370.png,wild
train,train/wild/flickr_wild_001214.png,wild
val,val/cat/pixabay_cat_001212.png,cat
val,val/cat/pixabay_cat_002973.png,cat
val,val/cat/pixabay_cat_003000.png,cat
train,train/dog/pixabay_dog_002642.png,dog
val,val/dog/flickr_dog_000795.png,dog
val,val/wild/flickr_wild_003475.png,wild
val,val/cat/pixabay_cat_000651.png,cat
train,train/wild/flickr_wild_001328.png,wild
train,train/dog/pixabay_dog_001438.png,dog
val,val/cat/pixabay_cat_003842.png,cat
val,val/wild/flickr_wild_000814.png,wild
val,val/cat/pixabay_cat_003734.png,cat
val,val/dog/pixabay_dog_000166.png,dog
train,train/dog/pixabay_dog_002775.png,dog
train,train/dog/flickr_dog_001181.png,dog
train,train/cat/pixabay_cat_003822.png,cat
val,val/cat/pixabay_cat_004461.png,cat
val,val/wild/flickr_wild_000354.png,wild
val,val/cat/flickr_cat_000008.png,cat
train,train/wild/flickr_wild_000883.png,wild
val,val/wild/flickr_wild_002319.png,wild
val,val/dog/pixabay_dog_003468.png,dog
val,val/cat/flickr_cat_000216.png,cat
train,train/dog/flickr_dog_000789.png,dog
val,val/cat/pixabay_cat_000803.png,cat
val,val/cat/pixabay_cat_000181.png,cat
val,val/cat/pixabay_cat_003794.png,cat
val,val/dog/pixabay_dog_002447.png,dog
val,val/cat/pixabay_cat_000299.png,cat
val,val/cat/pixabay_cat_000573.png,cat
val,val/dog/pixabay_dog_004005.png,dog
val,val/cat/pixabay_cat_000760.png,cat
train,train/cat/flickr_cat_000631.png,cat
train,train/dog/flickr_dog_000955.png,dog
